方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
SHORT	01-02 08:13	95978.80	01-02 09:53	96554.67	-34.00	-0.68	100		#short|cl 率59% 分62
SHORT	01-02 11:38	96662.20	01-02 14:32	97242.17	-33.77	-0.68	174		#short|cl 率59% 分62
SHORT	01-02 17:14	97520.40	01-02 17:34	96740.24	35.51	0.72	20		#short|cl 率59% 分62
SHORT	01-03 09:38	96567.10	01-03 13:38	96500.10	-0.53	-0.01	240		#short|cl 率59% 分62
SHORT	01-03 14:38	97090.30	01-03 16:01	97672.84	-33.78	-0.68	83		#short|cl 率59% 分62
SHORT	01-04 07:42	98208.80	01-04 11:42	97789.00	17.14	0.35	240		#short|cl 率59% 分62
SHORT	01-05 00:13	98259.00	01-05 04:13	98244.90	-3.25	-0.07	240		#short|cl 率59% 分62
SHORT	01-05 06:22	98320.50	01-05 10:02	97533.94	35.62	0.72	220		#short|cl 率59% 分62
SHORT	01-05 10:12	97727.30	01-05 14:12	97589.80	3.02	0.06	240		#short|cl 率59% 分62
SHORT	01-05 15:29	97863.10	01-05 19:29	98020.20	-11.99	-0.24	240		#short|cl 率59% 分62
SHORT	01-06 19:16	101940.80	01-06 23:16	102057.20	-9.66	-0.19	240		#short|cl 率59% 分62
SHORT	01-07 04:00	101708.20	01-07 08:00	101709.90	-4.05	-0.08	240		#short|cl 率59% 分62
SHORT	01-07 15:52	98233.10	01-07 17:07	97447.24	35.71	0.72	75		#short|cl 率59% 分62
SHORT	01-09 02:15	94235.10	01-09 02:45	94800.51	-33.97	-0.68	30		#short|cl 率59% 分62
SHORT	01-09 06:16	94539.50	01-09 07:28	93783.18	35.73	0.72	72		#short|cl 率59% 分62
SHORT	01-09 20:41	91555.80	01-09 20:57	92105.13	-33.98	-0.68	16		#short|cl 率59% 分62
SHORT	01-10 16:16	93802.00	01-10 17:42	94364.81	-33.75	-0.68	86		#short|cl 率59% 分62
SHORT	01-10 21:26	94844.20	01-11 01:26	94523.70	12.72	0.26	240		#short|cl 率59% 分62
SHORT	01-11 01:58	94405.00	01-11 05:58	94305.00	1.28	0.03	240		#short|cl 率59% 分62
SHORT	01-11 14:57	94550.00	01-11 18:57	94253.80	11.53	0.23	240		#short|cl 率59% 分62
SHORT	01-12 14:07	94761.40	01-12 15:22	95329.97	-33.70	-0.68	75		#short|cl 率59% 分62
SHORT	01-13 12:06	90960.90	01-13 13:18	91506.67	-33.47	-0.68	72		#short|cl 率59% 分62
SHORT	01-13 14:38	90328.00	01-13 14:41	90869.97	-33.24	-0.68	3		#short|cl 率59% 分62
SHORT	01-13 22:07	94408.90	01-14 01:11	94975.35	-33.01	-0.68	184		#short|cl 率59% 分62
SHORT	01-15 09:12	97286.70	01-15 11:23	96508.41	34.72	0.72	131		#short|cl 率59% 分62
SHORT	01-17 00:41	100255.60	01-17 01:36	100857.13	-33.03	-0.68	55		#short|cl 率59% 分62
SHORT	01-17 10:40	102440.40	01-17 14:36	103055.04	-32.80	-0.68	236		#short|cl 率59% 分62
SHORT	01-17 14:45	102882.50	01-17 15:03	103499.79	-32.58	-0.68	18		#short|cl 率59% 分62
SHORT	01-17 19:19	105335.40	01-17 21:51	104492.72	34.26	0.72	152		#short|cl 率59% 分62
SHORT	01-18 02:36	104438.40	01-18 03:40	103602.89	34.51	0.72	64		#short|cl 率59% 分62
