序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	条件组合
1	做多	精品	3	33	25	75.8%	75.9%	0.013	83.8	空头71%  震荡83%	+6.62%	KDJ-J<25（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & RSI温和<45（严格） & 量比>1.8（严格）
2	做多	精品	2	24	18	75.0%	75.0%	0.000	83.7	空头67%  震荡89%	+4.56%	布林位置<0.25（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & RSI温和<45（严格） & 量比>1.8（严格）
3	做多	精品	2	16	12	75.0%	75.0%	0.000	83.7	空头80%	+3.04%	偏离MA5温和<-0.5%（严格） & KDJ-K<25（严格） & RSI<30（严格）
4	做多	精品	2	16	12	75.0%	75.0%	0.000	83.7	空头78%  震荡71%	+3.04%	偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & KDJ-K<35（宽松） & RSI温和<45（严格）
5	做多	精品	2	16	12	75.0%	75.0%	0.000	83.7	多头75%  空头67%	+3.04%	ATR波动率比>1.2（宽松） & 连续阴线≥3（严格） & KDJ-J<15（严格） & 下影线/实体>1.5（宽松） & OBV方向买压（宽松）
6	做空	精品	2	20	14	70.0%	70.0%	0.000	83.7	多头57%  震荡100%	+6.40%	连续阳线≥3（严格） & KDJ-K>75（严格） & MA5斜率>0.05%（严格） & MACD柱<0(空头)（宽松） & 量比>1.3（宽松）
7	做空	精品	2	18	12	66.7%	66.7%	0.000	83.7	多头57%	+4.92%	偏离MA5温和>0.5%（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & RSI>60（宽松） & 量比>1.8（严格）
8	做空	精品	2	18	12	66.7%	66.7%	0.000	83.7	多头57%	+4.92%	ATR波动率比>1.8（严格） & 偏离MA5温和>0.5%（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & RSI>60（宽松）
9	做空	精品	2	18	12	66.7%	66.7%	0.000	83.7	多头57%	+4.92%	ATR波动率比>1.8（严格） & 偏离MA5温和>0.5%（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & 量比>1.8（严格）
10	做空	精品	2	18	12	66.7%	66.7%	0.000	83.7	多头57%	+4.92%	偏离MA5温和>0.5%（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & MA5斜率>0.05%（严格） & 量比>1.8（严格）
