=== 策略池 1（TP 0.6% / SL 0.8%，做多≥64% / 做空≥52%） ===
序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	单次EV	平均持仓	条件组合
1	做多	精品	4	48	38	79.2%	100.0%	0.000	77.9	多头86%  空头73%  震荡83%	+11.92%	+0.25%	3	偏离MA5温和<-0.3%（宽松） & KDJ-J<15（严格） & MACD柱>0(多头)（宽松）
2	做多	精品	4	34	26	76.5%	100.0%	0.000	74.9	空头68%  震荡100%	+7.16%	+0.21%	2	布林位置<0.25（宽松） & 下影线/实体>1.5（宽松） & MACD柱>0(多头)（宽松） & 量比>1.8（严格）
3	做多	精品	4	36	30	83.3%	100.0%	0.000	74.9	多头100%  空头80%  震荡80%	+11.04%	+0.31%	13	布林位置<0.15（严格） & 连续阴线≥3（严格） & OBV方向买压（宽松） & 量比温和>1.1（宽松）
4	做多	优质	4	40	28	70.0%	100.0%	0.000	71.9	空头70%  震荡100%	+4.80%	+0.12%	2	布林中区<0.40（宽松） & 连续阴线≥2（宽松） & 下影线/实体>1.5（宽松） & MACD柱>0(多头)（宽松） & 量比>1.8（严格）
5	做空	精品	4	84	56	66.7%	60.0%	0.000	69.5	多头71%  空头62%	+22.96%	+0.27%	15	偏离MA5温和>0.3%（宽松） & KDJ-J>75（宽松） & MACD柱<0(空头)（宽松）
6	做多	精品	5	86	63	73.3%	81.0%	0.033	68.3	⚠多头29%  空头70%  震荡88%	+14.24%	+0.17%	8	连续阴线≥3（严格） & KDJ-K<35（宽松） & MACD柱>0(多头)（宽松） & 量比>1.3（宽松）
7	做多	精品	3	28	22	78.6%	100.0%	0.000	67.7	空头85%  ⚠震荡50%	+6.72%	+0.24%	15	偏离MA5温和<-0.3%（宽松） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
8	做空	精品	4	44	32	72.7%	60.0%	0.000	66.5	多头80%  空头67%	+15.76%	+0.36%	15	偏离MA5温和>0.3%（宽松） & 连续阳线≥2（宽松） & KDJ-J>75（宽松） & MACD柱<0(空头)（宽松）
9	做多	精品	4	100	75	75.0%	90.4%	0.017	65.0	多头74%  空头75%  震荡76%	+19.00%	+0.19%	10	ATR波动率比>1.2（宽松） & 布林位置<0.15（严格） & 连续阴线≥3（严格） & MACD柱>0(多头)（宽松） & 量比>1.3（宽松）
10	做多	精品	3	25	22	88.0%	100.0%	0.000	64.7	空头85%	+9.30%	+0.37%	15	偏离MA5温和<-0.3%（宽松） & 连续阴线≥2（宽松） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
11	做多	精品	3	28	22	78.6%	100.0%	0.000	64.7	空头79%	+6.72%	+0.24%	10	ATR波动率比>1.2（宽松） & KDJ-K<35（宽松） & MACD柱翻正（严格） & RSI温和<50（宽松）
12	做空	优质	3	31	18	58.1%	66.7%	0.000	64.7	多头58%  震荡60%	+4.74%	+0.15%	20	ATR波动率比>1.8（严格） & KDJ-J>85（严格） & RSI>70（严格） & 上影线/实体>2.5（严格）
13	做多	精品	3	26	20	76.9%	100.0%	0.000	64.7	空头87%	+5.64%	+0.22%	8	KDJ-K<35（宽松） & MACD柱翻正（严格） & RSI温和<50（宽松） & 量比>1.3（宽松）
14	做空	精品	3	31	21	67.7%	100.0%	0.000	64.7	多头72%  ⚠震荡50%	+8.94%	+0.29%	57	布林位置>0.85（严格） & 连续阳线≥3（严格） & KDJ-K>75（严格） & OBV方向卖压（宽松）
15	做多	精品	3	51	39	76.5%	100.0%	0.000	61.7	空头77%  震荡75%	+10.74%	+0.21%	10	ATR波动率比>1.8（严格） & 连续阴线≥3（严格） & KDJ-K<25（严格） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
16	做多	优质	3	74	51	68.9%	100.0%	0.000	61.7	空头74%  ⚠震荡57%	+7.76%	+0.10%	12	ATR波动率比>1.8（严格） & 连续阴线≥3（严格） & KDJ-J<25（宽松） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
17	做多	精品	3	32	26	81.2%	100.0%	0.000	61.7	空头88%  ⚠震荡50%	+8.88%	+0.28%	10	ATR波动率比>1.8（严格） & 连续阴线≥3（严格） & KDJ-J<25（宽松） & 下影线/实体>2.5（严格） & 量比>1.8（严格）
18	做空	精品	3	30	18	60.0%	66.7%	0.000	61.7	多头60%  震荡60%	+5.40%	+0.18%	20	ATR波动率比>1.8（严格） & KDJ-J>85（严格） & KDJ-K>75（严格） & RSI>70（严格） & 上影线/实体>2.5（严格）
19	做空	精品	3	25	15	60.0%	66.7%	0.000	61.7	多头65%	+4.50%	+0.18%	20	ATR波动率比>1.8（严格） & KDJ-J>85（严格） & RSI>70（严格） & 上影线/实体>2.5（严格） & 量比温和>1.1（宽松）
20	做空	精品	3	37	22	59.5%	100.0%	0.000	61.7	多头81%  ⚠震荡43%	+6.38%	+0.17%	8	ATR波动率比>1.8（严格） & KDJ-J>75（宽松） & KDJ-K>65（宽松） & MACD柱<0(空头)（宽松） & 量比>1.8（严格）
21	做空	精品	3	30	21	70.0%	100.0%	0.000	61.7	多头75%  ⚠震荡50%	+9.60%	+0.32%	57	布林位置>0.85（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & KDJ-K>75（严格） & OBV方向卖压（宽松）
22	做多	优质	3	66	45	68.2%	80.0%	0.000	61.7	空头75%  ⚠震荡50%	+6.24%	+0.09%	10	ATR波动率比>1.8（严格） & 连续阴线≥2（宽松） & KDJ-K<25（严格） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
23	做多	优质	4	62	43	69.4%	76.2%	0.027	60.9	空头68%  震荡72%	+6.88%	+0.11%	10	ATR波动率比>1.2（宽松） & 连续阴线≥2（宽松） & KDJ-K<35（宽松） & MACD柱>0(多头)（宽松） & RSI温和<45（严格）
24	做多	精品	3	49	36	73.5%	74.2%	0.011	59.8	空头70%  震荡77%	+8.26%	+0.17%	18	ATR波动率比>1.8（严格） & KDJ-K<25（严格） & 下影线/实体>1.5（宽松） & 量比>1.8（严格）
25	做多	优质	3	29	20	69.0%	79.3%	0.010	58.5	空头80%  ⚠震荡40%	+3.06%	+0.11%	10	ATR波动率比>1.2（宽松） & 布林位置<0.15（严格） & 连续阴线≥2（宽松） & KDJ-K<35（宽松） & OBV方向买压（宽松）
26	做多	精品	2	88	64	72.7%	100.0%	0.000	56.8	空头76%  ⚠震荡57%	+13.92%	+0.16%	14	偏离MA5温和<-0.3%（宽松） & MA5斜率向下（宽松） & OBV方向买压（宽松）
