序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	条件组合
1	做多	精品	4	32	24	75.0%	75.0%	0.000	90.1	多头75%  空头67%	+6.08%	ATR波动率比>1.2（宽松） & 连续阴线≥3（严格） & KDJ-J<15（严格） & 下影线/实体>1.5（宽松） & OBV方向买压（宽松）
2	做多	精品	5	125	93	74.4%	74.5%	0.013	88.0	空头72%  震荡83%	+22.70%	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.3%（宽松） & 连续阴线≥3（严格） & RSI<40（宽松） & 量比>1.8（严格）
3	做空	精品	3	27	18	66.7%	66.7%	0.000	87.3	多头57%  震荡100%	+7.38%	ATR波动率比>1.8（严格） & 偏离MA5温和>0.5%（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & 量比>1.8（严格）
4	做多	精品	4	70	53	75.7%	75.7%	0.012	86.9	空头82%  ⚠震荡58%	+14.00%	偏离MA5温和<-0.5%（严格） & MA5斜率向下（宽松） & 量比>1.3（宽松）
5	做多	精品	4	58	45	77.6%	77.6%	0.014	86.4	空头88%  ⚠震荡50%	+13.12%	偏离MA5温和<-0.5%（严格） & KDJ-J<25（宽松） & 量比>1.8（严格）
6	做多	精品	4	50	38	76.0%	75.9%	0.015	86.0	空头81%  ⚠震荡43%	+10.20%	偏离MA5温和<-0.5%（严格） & RSI<30（严格）
7	做多	精品	4	54	41	75.9%	75.9%	0.015	86.0	空头87%  ⚠震荡50%	+10.96%	偏离MA5温和<-0.5%（严格） & KDJ-J<25（宽松） & KDJ-K<35（宽松） & MA5斜率<-0.05%（严格） & 量比>1.8（严格）
8	做多	精品	4	57	44	77.2%	77.2%	0.018	85.4	空头88%  ⚠震荡50%	+12.58%	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-J<25（宽松） & 量比>1.8（严格）
9	做多	精品	4	57	44	77.2%	77.2%	0.018	85.4	空头88%  ⚠震荡50%	+12.58%	偏离MA5温和<-0.5%（严格） & KDJ-J<25（宽松） & RSI温和<50（宽松） & 量比>1.8（严格）
10	做空	精品	4	35	23	65.7%	65.6%	0.018	85.3	多头56%  震荡100%	+9.10%	偏离MA5温和>0.5%（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & RSI>60（宽松） & 量比>1.8（严格）
11	做空	精品	4	35	23	65.7%	65.6%	0.018	85.3	多头56%  震荡100%	+9.10%	偏离MA5温和>0.5%（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & MA5斜率>0.05%（严格） & 量比>1.8（严格）
12	做多	精品	4	53	40	75.5%	75.5%	0.019	85.0	空头85%  ⚠震荡58%	+10.42%	偏离MA5温和<-0.5%（严格） & 连续阴线≥2（宽松） & 量比>1.8（严格）
13	做多	精品	4	53	40	75.5%	75.5%	0.019	85.0	空头86%  ⚠震荡50%	+10.42%	偏离MA5温和<-0.5%（严格） & KDJ-J<25（宽松） & RSI<40（宽松） & 量比>1.8（严格）
14	做多	精品	4	49	37	75.5%	75.3%	0.021	84.6	空头81%  ⚠震荡43%	+9.66%	偏离MA5温和<-0.5%（严格） & MA5斜率向下（宽松） & RSI<30（严格）
15	做多	精品	3	28	22	78.6%	78.5%	0.010	84.5	空头81%  震荡75%	+6.72%	偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & MA5斜率向下（宽松）
16	做多	精品	3	33	25	75.8%	75.9%	0.013	83.8	空头71%  震荡83%	+6.62%	KDJ-J<25（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & RSI温和<45（严格） & 量比>1.8（严格）
17	做多	精品	5	74	54	73.0%	73.0%	0.016	83.8	空头79%  ⚠震荡59%	+11.96%	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & 量比>1.3（宽松）
18	做多	精品	5	74	54	73.0%	73.0%	0.016	83.8	空头79%  ⚠震荡59%	+11.96%	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & 量比>1.3（宽松）
19	做多	精品	5	74	54	73.0%	73.0%	0.016	83.8	空头79%  ⚠震荡59%	+11.96%	偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & RSI温和<50（宽松） & 量比>1.3（宽松）
20	做多	精品	5	74	54	73.0%	73.0%	0.016	83.8	空头79%  ⚠震荡57%	+11.96%	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & MA5斜率<-0.05%（严格）
21	做多	精品	5	74	54	73.0%	73.0%	0.016	83.8	空头79%  ⚠震荡57%	+11.96%	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & MA5斜率<-0.05%（严格） & 量比温和>1.1（宽松）
22	做多	精品	5	74	54	73.0%	73.0%	0.016	83.8	空头79%  ⚠震荡57%	+11.96%	偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & MA5斜率<-0.05%（严格） & RSI温和<50（宽松） & 量比温和>1.1（宽松）
23	做多	精品	5	99	74	74.7%	74.3%	0.027	83.8	多头69%  空头80%  ⚠震荡60%	+18.46%	偏离MA5温和<-0.5%（严格） & 量比温和>1.1（宽松）
24	做多	精品	5	73	53	72.6%	72.6%	0.013	83.7	空头79%  ⚠震荡57%	+11.42%	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & MA5斜率<-0.05%（严格） & 量比>1.3（宽松）
25	做多	精品	5	73	53	72.6%	72.6%	0.013	83.7	空头79%  ⚠震荡57%	+11.42%	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & MA5斜率<-0.05%（严格） & 量比>1.3（宽松）
26	做多	精品	5	73	53	72.6%	72.6%	0.013	83.7	空头79%  ⚠震荡57%	+11.42%	偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & MA5斜率<-0.05%（严格） & RSI温和<50（宽松） & 量比>1.3（宽松）
27	做多	精品	5	127	94	74.0%	73.5%	0.021	83.5	空头72%  震荡80%	+22.38%	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.3%（宽松） & 连续阴线≥3（严格） & 量比>1.8（严格）
28	做多	精品	4	52	39	75.0%	75.0%	0.025	83.4	空头85%  ⚠震荡58%	+9.88%	偏离MA5温和<-0.5%（严格） & 连续阴线≥2（宽松） & RSI<40（宽松） & 量比>1.8（严格）
29	做多	精品	4	52	39	75.0%	75.0%	0.025	83.4	空头85%  ⚠震荡58%	+9.88%	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥2（宽松） & 量比>1.8（严格）
30	做多	精品	4	52	39	75.0%	75.0%	0.025	83.4	空头85%  ⚠震荡58%	+9.88%	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥2（宽松） & 量比>1.8（严格）
31	做多	精品	4	52	39	75.0%	75.0%	0.025	83.4	空头85%  ⚠震荡58%	+9.88%	偏离MA5温和<-0.5%（严格） & 连续阴线≥2（宽松） & RSI温和<50（宽松） & 量比>1.8（严格）
32	做多	精品	5	77	56	72.7%	72.6%	0.015	83.3	空头78%  ⚠震荡59%	+12.18%	偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松） & 量比温和>1.1（宽松）
33	做空	精品	3	24	15	62.5%	62.5%	0.000	83.2	⚠多头50%  震荡100%	+5.16%	偏离MA5温和>0.3%（宽松） & KDJ-J>85（严格） & 上影线/实体>1.5（宽松）
34	做多	精品	5	75	55	73.3%	73.4%	0.022	83.1	空头79%  ⚠震荡59%	+12.50%	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松）
