序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	条件组合
1	做多	精品	10	168	121	72.0%	72.1%	0.018	89.1	空头76%  ⚠震荡56%	+24.92%	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & KDJ-J<25（宽松） & MA5斜率向下（宽松）
2	做多	精品	5	68	55	80.9%	81.0%	0.013	88.8	多头100%  空头88%  ⚠震荡62%	+18.52%	布林中区<0.40（宽松） & 偏离MA5温和<-0.3%（宽松） & MACD柱>0(多头)（宽松） & RSI温和<50（宽松）
3	做多	精品	14	134	99	73.9%	73.9%	0.036	88.0	空头74%  震荡74%	+23.36%	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & MA5斜率<-0.05%（严格） & 量比温和>1.1（宽松）
4	做多	精品	5	125	93	74.4%	74.5%	0.013	88.0	空头72%  震荡83%	+22.70%	ATR波动率比>1.8（严格） & 偏离MA5温和<-0.3%（宽松） & 连续阴线≥3（严格） & RSI<40（宽松） & 量比>1.8（严格）
5	做多	精品	10	99	74	74.7%	74.7%	0.043	87.9	空头75%  震荡75%	+18.46%	布林位置<0.25（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & KDJ-K<35（宽松） & 量比温和>1.1（宽松）
6	做多	精品	10	99	74	74.7%	74.7%	0.043	87.9	空头75%  震荡75%	+18.46%	偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & KDJ-K<35（宽松） & MA5斜率向下（宽松） & 量比温和>1.1（宽松）
7	做多	精品	12	197	144	73.1%	73.1%	0.030	87.8	空头76%  ⚠震荡60%	+32.18%	布林中区<0.35（严格） & 偏离MA5温和<-0.5%（严格） & KDJ-K<35（宽松）
8	做多	精品	3	26	26	100.0%	100.0%	0.000	87.3	空头100%	+14.04%	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.3%（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松）
9	做多	精品	3	24	21	87.5%	87.5%	0.000	87.3	多头100%  空头100%  ⚠震荡50%	+8.76%	布林中区<0.40（宽松） & 偏离MA5温和<-0.3%（宽松） & 连续阴线≥2（宽松） & MACD柱>0(多头)（宽松） & RSI温和<45（严格）
10	做空	精品	3	27	18	66.7%	66.7%	0.000	87.3	多头61%  震荡78%	+7.38%	偏离MA5温和>0.5%（严格） & 连续阳线≥3（严格） & KDJ-J>85（严格） & KDJ-K>75（严格） & 量比>1.8（严格）
11	做多	精品	3	24	18	75.0%	75.0%	0.000	87.3	多头100%  空头100%  ⚠震荡33%	+4.56%	布林位置<0.25（宽松） & 偏离MA5温和<-0.3%（宽松） & OBV方向买压（宽松）
12	做多	精品	3	24	18	75.0%	75.0%	0.000	87.3	⚠空头60%  震荡100%	+4.56%	ATR波动率比>1.2（宽松） & 偏离MA5温和<-0.3%（宽松） & KDJ-K<35（宽松） & MACD柱>0(多头)（宽松）
