序号	方向	层级	出现轮次	累计触发	累计命中	综合命中率	平均命中率	波动	综合评分	各状态命中率	估算总盈亏	单次EV	平均持仓	条件组合
1	做多	优质	5	80	54	67.5%	100.0%	0.000	87.7	⚠多头29%  空头69%  震荡73%	+6.80%	+0.09%	14	偏离MA5温和<-0.3%（宽松） & KDJ-K<35（宽松） & MACD柱>0(多头)（宽松）
2	做空	精品	5	45	40	88.9%	100.0%	0.000	84.7	多头83%  空头100%  震荡100%	+26.30%	+0.58%	8	偏离MA5温和>0.5%（严格） & KDJ-J>85（严格） & MACD柱<0(空头)（宽松） & RSI温和>55（严格）
3	做多	精品	6	60	50	83.3%	100.0%	0.000	83.2	空头85%  震荡71%	+18.40%	+0.31%	-	KDJ-K<25（严格） & 下影线/实体>1.5（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松） & RSI温和<50（宽松）
4	做多	精品	5	45	40	88.9%	100.0%	0.000	81.7	空头88%  震荡100%	+17.30%	+0.38%	-	布林中区<0.40（宽松） & KDJ-K<25（严格） & 下影线/实体>1.5（宽松） & MA5斜率<-0.05%（严格） & MACD柱>0(多头)（宽松）
5	做多	优质	5	82	57	69.5%	100.0%	0.000	81.7	多头100%  空头66%  震荡74%	+9.28%	+0.11%	6	布林中区<0.40（宽松） & 偏离MA5温和<-0.5%（严格） & 连续阴线≥3（严格） & 下影线/实体>1.5（宽松） & 量比>1.3（宽松）
6	做空	优质	4	36	21	58.3%	100.0%	0.000	74.9	多头58%	+5.64%	+0.16%	-	布林位置>0.85（严格） & MA5斜率>0.05%（严格） & MACD柱<0(空头)（宽松） & RSI>70（严格）
7	做多	精品	4	90	66	73.3%	100.0%	0.000	74.9	多头70%  空头88%  震荡71%	+15.00%	+0.17%	12	偏离MA5温和<-0.3%（宽松） & 连续阴线≥2（宽松） & 下影线/实体>1.5（宽松） & MACD柱>0(多头)（宽松）
8	做空	精品	4	33	21	63.6%	100.0%	0.000	74.9	多头100%  ⚠震荡0%	+7.62%	+0.23%	9	偏离MA5温和>0.5%（严格） & KDJ-J>85（严格） & MACD柱<0(空头)（宽松） & 量比>1.3（宽松）
9	做空	优质	4	34	20	58.8%	100.0%	0.000	71.9	多头59%	+5.56%	+0.16%	-	布林位置>0.85（严格） & KDJ-K>65（宽松） & MA5斜率>0.05%（严格） & MACD柱<0(空头)（宽松） & RSI>70（严格）
10	做多	精品	4	33	29	87.9%	100.0%	0.000	71.9	多头88%	+12.22%	+0.37%	-	连续阴线≥2（宽松） & KDJ-J<15（严格） & KDJ-K<35（宽松） & MACD柱>0(多头)（宽松） & RSI温和<50（宽松）
11	做空	精品	4	41	29	70.7%	100.0%	0.000	71.9	多头76%  ⚠震荡50%	+13.54%	+0.33%	14	布林位置>0.75（宽松） & 偏离MA5温和>0.3%（宽松） & 连续阳线≥2（宽松） & KDJ-K>65（宽松） & OBV方向卖压（宽松）
12	做空	精品	4	33	25	75.8%	100.0%	0.000	71.9	多头100%  ⚠震荡33%	+13.22%	+0.40%	9	布林位置>0.75（宽松） & 偏离MA5温和>0.5%（严格） & KDJ-J>85（严格） & MACD柱<0(空头)（宽松） & 量比温和>1.1（宽松）
